snid,n_obs,chi2_dof,stretch,residual,ln_A,t0,A_plasma,beta,neg_logL,pass_n_obs,pass_chi2,pass_stretch,is_flashlight,is_candidate
1567071,103,3.7523188977835003,1.895785505939676,47.157416444397796,4.060363618279716,57655.34078181946,0.1,1.5,187.615944889175,True,True,True,True,True
1339875,103,4.188108018201022,2.2058920741552814,45.84353939672375,4.023319316731708,57327.38579825551,0.1,1.5,209.4054009100511,True,True,True,True,True
1878337,102,6.513303487471124,1.3393663853139408,36.29741765926997,0.45757774120846406,58018.14886261284,0.1,1.5,322.40852262982065,True,True,True,True,True
1780122,99,4.13589382995574,2.1181849280347476,46.22312060285658,4.165582430992849,57956.52934091695,0.1,1.5,198.5229038378755,True,True,True,True,True
1252513,113,5.064396802870283,3.8543016225336357,45.077911451336185,3.243257676276748,56488.50232922393,0.1,1.5,278.54182415786556,True,True,True,True,True
1248764,98,11.507792477953885,6.040045474496351,47.33773388243677,4.424410675259395,57199.403,0.1,1.5,546.6201427028095,True,False,True,True,False
1777115,116,3.4379094272719506,3.259486695905146,51.95218462911815,8.562697655076576,57760.86797892849,0.1,1.5,194.2418826408652,True,True,True,True,True
1294743,83,8.817010007847282,2.358484612753988,43.43991777799044,2.5782595299504862,56885.69885636733,0.1,1.5,352.68040031389125,True,True,True,True,True
1935354,48,4.4872345423011275,2.231369527606115,46.57579891529838,3.78100561353601,58062.759677353606,0.1,1.5,100.96277720177537,True,True,True,True,True
1308373,108,5.114925520365694,2.6140840432526575,43.275744524133955,2.7949047065228854,56926.30640787359,0.1,1.5,268.53358981919894,True,True,True,True,True
1331719,97,3.878021991804637,1.9391720810874529,45.97603372281919,3.6591605659523054,57273.46681999602,0.1,1.5,182.26703361481793,True,True,True,True,True
1307783,99,4.495789778316154,2.3933260064405104,46.35678857162269,3.544446251263672,57234.52231775724,0.1,1.5,215.7979093591754,True,True,True,True,True
1318266,108,3.559441514501205,1.9644059202887139,45.35090685855738,3.8159111684624776,56976.11527968832,0.1,1.5,186.87067951131326,True,True,True,True,True
