source,snid,ra,dec,z_helio,band,mjd,mag,mag_err,flux_nu_jy,flux_nu_jy_err,zp,zpsys,wavelength_eff_nm
osc,SN2011fe,,,,ic,55857.7834,11.634,0.016,0.08061692875497972,0.001188014965722748,,AB,550.0
osc,SN2011fe,,,,rc,55857.7834,11.848,0.01,0.06619516193232958,0.0006096799723748362,,AB,550.0
osc,SN2011fe,,,,v,55857.7834,12.161,0.007,0.04961651410768631,0.0003198894881019244,,AB,545.0
osc,SN2011fe,,,,b,55857.98,13.314,0.034,0.017156403385067857,0.0005372554701003579,,AB,438.0
osc,SN2011fe,,,,i,55857.98,11.564,0.024,0.08598570351555733,0.0019006982316050695,,AB,763.0
osc,SN2011fe,,,,r,55857.98,11.862,0.013,0.06534708944692376,0.000782429616961383,,AB,623.0
osc,SN2011fe,,,,v,55857.98,12.144,0.02,0.050399502433056215,0.0009283931439733792,,AB,545.0
osc,SN2011fe,,,,uvw1,55858.5225,15.006,0.073,0.003610989693909045,0.00024278664237238292,,AB,550.0
osc,SN2011fe,,,,u,55858.5231,13.541,0.034,0.013919583767560875,0.000435893954740599,,AB,355.1
osc,SN2011fe,,,,b,55858.5234,13.234,0.03,0.018468271435026693,0.0005102971979959227,,AB,438.0
osc,SN2011fe,,,,uvw2,55858.5243,16.112,0.098,0.0013038458496634777,0.00011768686786629338,,AB,550.0
osc,SN2011fe,,,,v,55858.5251,12.19,0.03,0.04830879991678445,0.0013348214705858387,,AB,545.0
osc,SN2011fe,,,,uvm2,55858.5262,16.513,0.111,0.0009012105121774245,9.213505675992346e-05,,AB,550.0
osc,SN2011fe,,,,u,55858.5274,13.491,0.036,0.014575593539998906,0.00048328623945708186,,AB,355.1
osc,SN2011fe,,,,u,55858.5282,13.561,0.032,0.013665522731497255,0.0004027651702978158,,AB,355.1
osc,SN2011fe,,,,b,55858.99,13.29,0.016,0.017539865102064154,0.0002584770042696923,,AB,438.0
osc,SN2011fe,,,,i,55858.99,11.634,0.047,0.08061692875497972,0.003489793961810572,,AB,763.0
osc,SN2011fe,,,,r,55858.99,11.879,0.012,0.06433188085033481,0.0007110222232812003,,AB,623.0
osc,SN2011fe,,,,v,55858.99,12.157,0.01,0.04979964523375378,0.0004586716830065338,,AB,545.0
osc,SN2011fe,,,,uvw1,55859.529,14.956,0.063,0.0037811703952097446,0.00021940295796922516,,AB,550.0
osc,SN2011fe,,,,u,55859.5302,13.561,0.033,0.013665522731497255,0.00041535158186962253,,AB,355.1
osc,SN2011fe,,,,b,55859.5308,13.198,0.029,0.019090893236740552,0.000509917511674772,,AB,438.0
osc,SN2011fe,,,,uvw2,55859.5326,16.119,0.085,0.0012954666850757684,0.00010141935743587983,,AB,550.0
osc,SN2011fe,,,,v,55859.5343,12.163,0.029,0.04952520123916596,0.0013228174851696722,,AB,545.0
osc,SN2011fe,,,,uvm2,55859.5371,16.513,0.083,0.0009012105121774245,6.889378118084366e-05,,AB,550.0
osc,SN2011fe,,,,uvw1,55860.002,15.012,0.064,0.003591089663871486,0.0002116810119074684,,AB,550.0
osc,SN2011fe,,,,u,55860.0031,13.587,0.033,0.013342163209749817,0.00040552335271883854,,AB,355.1
osc,SN2011fe,,,,b,55860.0037,13.212,0.029,0.01884630646025603,0.0005033846020352419,,AB,438.0
osc,SN2011fe,,,,uvw2,55860.0053,16.16,0.086,0.0012474589088244436,9.880988189281331e-05,,AB,550.0
osc,SN2011fe,,,,v,55860.007,12.179,0.029,0.04880072217251326,0.0013034666586605674,,AB,545.0
osc,SN2011fe,,,,uvm2,55860.0095,16.498,0.084,0.0009137475992422756,7.069378178601855e-05,,AB,550.0
osc,SN2011fe,,,,u,55860.0617,13.554,0.033,0.01375391224043902,0.0004180381034964186,,AB,355.1
osc,SN2011fe,,,,b,55860.062,13.219,0.03,0.018725190682849058,0.0005173961391575909,,AB,438.0
osc,SN2011fe,,,,uvw2,55860.0631,16.224,0.096,0.0011760512528736613,0.00010398559040501236,,AB,550.0
osc,SN2011fe,,,,v,55860.0641,12.199,0.03,0.04791000861075473,0.0013238024595880827,,AB,545.0
osc,SN2011fe,,,,h,55860.065787,11.916972538,,0.06212082770908593,,,AB,550.0
osc,SN2011fe,,,,uvm2,55860.0659,16.555,0.095,0.0008670142768257749,7.586221767081762e-05,,AB,550.0
osc,SN2011fe,,,,u,55860.0677,13.539,0.036,0.013945248219004211,0.00046238573760740446,,AB,355.1
osc,SN2011fe,,,,u,55860.0685,13.597,0.032,0.013219841522193129,0.0003896295682655439,,AB,355.1
osc,SN2011fe,,,,b,55860.0697,13.201,0.03,0.019038215959189086,0.0005260453471779617,,AB,438.0
osc,SN2011fe,,,,b,55860.0705,13.175,0.03,0.019499624526203855,0.000538794537036217,,AB,438.0
