snid,n_obs,chi2_dof,stretch,residual,ln_A,t0,A_plasma,beta,neg_logL,pass_n_obs,pass_chi2,pass_stretch,is_flashlight,is_candidate,z
1780347,109,4.255686554793661,1.524672402410154,1.0629315438941886,3.1715039482759977,57971.56911563652,0.1,1.5,225.55138740406403,True,True,True,False,False,0.2495899945497512
1256098,35,5.876671038424681,3.12949803902597,1.4241846131069886,1.6317874170661923,56513.05,0.1,1.5,94.0267366147949,True,True,True,False,False,0.2651099860668182
1896164,76,9.328343977111867,2.126992116912808,2.0542337790535727,4.207102547222448,58031.94463752163,0.1,1.5,340.4845551645831,True,True,True,True,True,0.4218100011348724
1309013,106,5.460304274240562,2.282506353662677,1.3367293968794425,3.4623653851003624,57246.98613279041,0.1,1.5,281.2056701233889,True,True,True,False,False,0.2135799974203109
1301952,105,4.023234890421218,1.4592867350571068,1.0058003117013463,3.913112902632904,56908.86462735723,0.1,1.5,205.1849794114821,True,True,True,False,False,0.6289799809455872
1927227,12,3.817032247307831,3.6111526654265336,0.9537226638670676,3.5104671839938035,58029.13857331569,0.1,1.5,17.17664511288524,False,True,True,False,False,0.4503400027751922
1306029,101,4.564723252902282,2.381951393174085,1.136521297086056,3.941909049609059,57227.37294634826,0.1,1.5,223.67143939221185,True,True,True,False,False,0.4300000071525574
1900747,69,3.3224146245412336,3.045005332826171,0.8227491940860194,1.2566782167853212,58024.65832516727,0.1,1.5,109.63968260986071,True,True,True,False,False,0.5564299821853638
1264157,90,6.541872012785239,3.12712618411182,1.5577083517839243,2.8146423358773447,56558.866291613056,0.1,1.5,284.5714325561579,True,True,True,False,False,0.1992499977350235
1291387,149,17.959555746021806,1.0010332140813456,3.23787160565558,0.0034440469378189,56908.219192195545,0.1,1.5,1311.0475694595918,True,False,True,True,False,1.88470995426178
1286400,200,3.5838892168298924,4.510828383150999,0.8931162713446559,1.384767724789736,56568.21700188956,0.1,1.5,353.0130878577444,True,True,True,False,False,0.2667300105094909
1890057,83,3.396120909299036,2.043480772287309,0.8428567251143091,3.2189339876687555,58008.78099306858,0.1,1.5,135.84483637196143,True,True,True,False,False,0.7366399765014648
1249760,85,5.001787167711874,2.952124304327108,1.2364675646456118,4.648493810869148,56484.218,0.1,1.5,205.0732738761868,True,True,True,False,False,0.9281299710273744
1883049,101,3.426990305713299,4.5962504871985,0.851213198341374,0.8259803335061946,57936.301,0.1,1.5,167.92252497995165,True,True,True,False,False,0.3188500106334686
1297268,77,3.6598721284185913,2.88597999916991,0.9130792269058255,2.2513253358288523,56861.10070434476,0.1,1.5,135.41526875148787,True,True,True,False,False,0.3476299941539764
1293951,98,4.92136708112094,2.162076988182628,1.218415443761817,5.164050300525929,56867.48009000672,0.1,1.5,233.76493635324465,True,True,True,False,False,0.7035300135612488
1258500,82,10.901824079793249,1.67435458597985,2.301791041206764,2.36451910065599,56634.55488520796,0.1,1.5,430.62205115183326,True,False,True,True,False,0.4950200021266937
1676126,117,3.790632595797123,1.7641154720464554,0.9469546979313934,2.369240713178023,57728.6373187559,0.1,1.5,216.066057960436,True,True,True,False,False,0.3105700016021728
1312274,71,5.009475586686407,1.973239718949848,1.2381857801993128,3.7624690061246815,56933.04868784565,0.1,1.5,170.32216994733784,True,True,True,False,False,0.4255099892616272
1292297,106,7.367371483565531,6.33186472523837,1.7142902356906364,5.959975230851981,56893.202,0.1,1.5,379.41963140362486,True,True,True,False,False,1.288396954536438
1286197,68,6.196569329931688,7.67402759148369,1.489290929146629,7.318171867327926,56565.037,0.1,1.5,201.38850322277983,True,True,True,False,False,2.3279500007629395
1265010,69,6.855176692493738,4.480274234207703,1.6182392351528416,6.504419292574148,56552.077,0.1,1.5,226.2208308522933,True,True,True,False,False,1.6982979774475098
1263982,100,4.7419653235867525,7.948846880992605,1.1776054104421103,3.398458832590279,56513.178,0.1,1.5,229.98531819395748,True,True,True,False,False,0.617900013923645
1303003,108,5.539757081487006,4.903500199679203,1.3536688555289604,3.9895875146461393,56837.268,0.1,1.5,290.8372467780678,True,True,True,False,False,0.7858999967575073
1309551,103,3.200357128977028,1.8899909737607528,0.788954199798594,3.775441729530499,56931.2372904271,0.1,1.5,160.0178564488514,True,True,True,False,False,0.6525899767875671
1278602,100,4.597090943803663,2.339218678978582,1.1440827744757578,3.4003801056003127,57215.89035995242,0.1,1.5,222.9589107744777,True,True,True,False,False,0.3489600121974945
1625059,114,4.522693433693059,0.564071865074451,1.1266625105298345,1.4940122559066928,58001.77741525327,0.1,1.5,251.0094855699648,True,True,True,False,False,0.5939099788665771
1322103,7,4.552647604370058,0.8857825638765735,1.1336934185515166,6.550059247307424,56901.492259107465,0.1,1.5,9.105295208740117,False,True,True,False,False,3.217600107192993
