zCMB,target,sigma
0.95,43.88415029,0.145894
1.3,45.0162581,0.173547
1.305,44.74016933,0.142203
0.216,40.5560466,0.122572
0.735,43.09184035,0.145369
1.14,44.19695213,0.19283
1.307,45.41074411,0.17005
1.265,44.94411084,0.171111
0.67,43.14320955,0.114325
0.64,42.92427543,0.112082
1.34,45.06750558,0.148974
0.84,43.51430438,0.162537
0.935,43.54019724,0.139046
0.953,44.27362023,0.160935
1.124,44.56751918,0.220579
0.552,42.51093428,0.144586
0.671,42.982007,0.116477
0.511,42.37366047,0.152165
1.03,44.24009336,0.141052
1.192,44.4587516,0.093514
1.092,44.00784772,0.123779
0.974,43.83414326,0.09543
1.11,44.62533585,0.14457
1.35,44.82706548,0.16408
0.85,43.49425735,0.201292
1.241,44.58170296,0.169884
1.414,44.80376614,0.158847
1.188,44.60764255,0.183904
1.017,44.29397077,0.085514
1.315,44.97135777,0.169757
0.821,43.64093879,0.173688
1.215,45.24652095,0.111695
0.623,42.514524,0.152337
