A,Z,N,element,binding_energy,sigma
63,28,35,Ni,552.1002165000001,0.026838
63,29,34,Cu,551.3848452,0.026838
63,30,33,Zn,547.2360557999999,0.09827999999999999
63,31,32,Ga,540.7873821,0.082152
63,32,31,Ge,530.3791521,2.3473800000000002
64,24,40,Cr,531.4280064,19.196223999999994
64,25,39,Mn,539.9947199999999,0.22656
64,26,38,Fe,551.1928832000001,0.321088
64,27,37,Co,555.2334272,1.28032
64,28,36,Ni,561.7576768,0.029632
64,29,35,Cu,559.3007104,0.0273279999999936
64,30,34,Zn,559.0979648,0.041216
64,31,33,Ga,551.1444288,0.091456
64,32,32,Ge,545.8447552,0.238464
65,25,40,Mn,546.0443429999999,0.24219000000000002
65,26,39,Fe,555.5125549999999,0.33228
65,27,38,Co,562.697512,0.13539500000000002
65,28,37,Ni,567.8557559999999,0.031395
65,29,36,Cu,569.2112855,0.041795
65,30,35,Zn,567.07729,0.04199
65,31,34,Ga,563.0404065,0.051415
65,32,33,Ge,556.078796,0.140725
65,33,32,As,545.7552815,5.50979
66,25,41,Mn,549.8987076000001,0.7377480000000001
66,26,40,Fe,562.433817,0.270534
66,27,39,Co,567.9921654,0.922152
66,28,38,Ni,576.8075676,0.092202
66,29,37,Cu,576.277218,0.042834
66,30,36,Zn,578.135811,0.049104
66,31,35,Ga,572.1779646,0.07207200000000001
66,32,34,Ge,569.2789277999999,0.158466
66,33,33,As,558.9146244,0.375012
67,26,41,Fe,566.1457053,0.255873
67,27,40,Co,574.9767274000001,0.431681
67,28,39,Ni,582.6152835,0.193496
67,29,38,Cu,585.4097998999999,0.059764
67,30,37,Zn,585.1882777999999,0.050585000000000005
67,31,36,Ga,583.404711,0.078792
67,32,35,Ge,578.4169228,0.289373
67,33,34,As,571.5480895,0.029681
67,34,33,Se,560.7588048,4.493556
68,27,41,Co,579.3688468,0.262412
68,28,40,Ni,590.4077356,0.2027079999999932
68,29,39,Cu,591.7286084,0.10771199999999999
68,30,38,Zn,595.386376,0.05290400000000001
68,31,37,Ga,591.682926,0.0972399999999932
68,32,36,Ge,590.7933228,0.12756799999999321
68,33,35,As,581.9267076,0.125528
68,34,34,Se,576.4392776,0.033728
69,27,42,Co,586.1830278,5.913093
69,28,41,Ni,594.9938862,0.257094
69,29,40,Cu,599.9691035999999,0.096393
69,30,39,Zn,601.8684459000001,0.054855
69,31,38,Ga,601.9960061999999,0.082593
69,32,37,Ge,598.9865159999999,0.090942
69,33,36,As,594.2156766,2.207931
69,34,35,Se,586.7558657999999,0.10281
69,35,34,Br,575.7982794,2.8982069999999998
70,27,43,Co,590.39386,0.76944
70,28,42,Ni,602.3004189999999,0.15008
70,29,41,Cu,605.2805850000001,0.07574
70,30,40,Zn,611.086602,0.13426
70,31,39,Ga,609.649656,0.08407
70,32,38,Ge,610.519196,0.0574
70,33,37,As,603.508787,0.09779
70,34,36,Se,600.322366,0.11087999999999999
70,35,35,Br,589.0357479999999,1.04328
71,27,44,Co,596.3101423999999,33.01713
71,28,43,Ni,606.5641043999999,0.158827
71,29,42,Cu,613.0866543,0.10579
71,30,41,Zn,616.9219607,0.18843400000000002
71,31,40,Ga,618.9499549999999,0.057581
71,32,39,Ge,617.9351378,0.057865
71,33,38,As,615.139385,0.295573
71,34,37,Se,609.6103026000001,0.198374
71,35,36,Br,602.1838659,0.383542
71,36,35,Kr,591.2263009999999,9.142598999999999
72,28,44,Ni,613.4552495999999,0.16106399999999998
72,29,43,Cu,618.2298432000001,0.100584
72,30,42,Zn,625.8099816,0.15422399999999997
72,31,41,Ga,625.4704296,0.0588959999999928
72,32,40,Ge,628.6857047999999,0.005472
72,33,39,As,623.5472592,0.293976
72,34,38,Se,622.4032944,0.14083199999999998
72,35,37,Br,612.8145072,0.07379999999999279
72,36,36,Kr,606.9109896,0.5767919999999929
73,28,45,Ni,617.4086616999999,0.17687899999999998
73,29,44,Cu,625.5056027,0.141766
73,30,43,Zn,631.3292215,0.135999
73,31,42,Ga,634.652802,0.122421
73,32,41,Ge,635.46865,0.004161000000000001
73,33,40,As,634.3415226999999,0.281269
73,34,39,Se,630.8338143,0.541952
73,35,38,Br,625.4698619,0.49209299999999995
73,36,37,Kr,617.5934831,0.48019399999999995
73,37,36,Rb,606.2709933,2.9779619999999998
74,29,45,Cu,630.5956842,0.45495199999999997
74,30,44,Zn,639.5638478,0.18611
74,31,43,Ga,641.0744024,0.221556
74,32,42,Ge,645.6648814,0.000962
74,33,41,As,642.320148,0.125282
74,34,40,Se,642.890947,0.00111
74,35,39,Br,635.183551,0.43179
74,36,38,Kr,631.444886,0.148962
74,37,37,Rb,620.2467101999999,0.223998
75,29,46,Cu,637.1310074999999,0.05385
75,30,45,Zn,644.4373575,0.1467
75,31,44,Ga,649.5567374999999,0.050325
75,32,43,Ge,652.17072,0.0039
75,33,42,As,652.56561,0.0663
75,34,41,Se,650.9185425,0.005475
75,35,40,Br,647.0737274999999,0.32137499999999997
75,36,39,Kr,641.5079924999999,0.6077999999999925
75,37,38,Rb,633.620715,0.0884999999999925
75,38,37,Sr,622.23837,16.500224999999993
76,29,47,Cu,641.7137368,0.06938799999999999
76,30,46,Zn,652.252786,0.110656
76,31,45,Ga,655.4640672,0.14865599999999998
76,32,44,Ge,661.5979664,0.0013679999999999999
76,33,43,As,659.8941071999999,0.067336
76,34,42,Se,662.0723356000001,0.0012159999999999999
76,35,41,Br,656.327108,0.7084719999999924
76,36,40,Kr,654.2693852,0.304988
76,37,39,Rb,644.9524236,0.0712879999999924
76,38,38,Sr,637.9386344000001,2.6193400000000002
77,29,48,Cu,647.6662577,0.09324700000000001
77,30,47,Zn,656.8102848999999,0.151921
77,31,46,Ga,663.2310839,0.18649400000000002
77,32,45,Ge,667.6692561000001,0.004081
77,33,44,As,669.5903753,0.13028399999999998
77,34,43,Se,669.4911916,0.0047740000000000005
77,35,42,Br,667.3441621000001,0.216447
77,36,41,Kr,663.496449,0.150612
77,37,40,Rb,657.3751491999999,0.100408
