redshift,distance_modulus,sigma_mu
0.39436,41.5776,0.1704
0.86917,43.7584,0.3169
0.48068,42.1979,0.2302
0.37298,41.4563,0.1197
0.78604,43.6208,0.1455
0.36002,41.5577,0.1478
0.40626,41.7285,0.1838
0.39764,41.4236,0.2
0.36604,41.1941,0.1743
0.42354,42.2622,4.8049
0.34451,41.5103,0.2028
0.49338,42.2967,0.1702
0.65992,43.0052,0.1523
0.66811,42.9469,0.1435
0.33402,41.3291,0.2064
0.23482,40.2567,0.1233
0.37176,41.3906,0.1439
0.59552,42.6676,0.1488
0.67756,42.9838,0.132
0.24171,40.414,0.1193
0.6598,43.1904,0.1842
0.3088,41.1081,0.115
0.4897,42.1942,0.1394
0.26767,42.3624,205.2519
0.7286,43.1441,0.18
0.56341,42.4901,0.2099
0.69164,43.1958,0.1839
0.68141,43.0093,0.1881
0.52685,42.4046,0.2
0.57508,42.4679,0.1853
0.40109,42.4168,232.0644
0.57892,42.6379,0.1563
0.78842,43.3969,0.1409
0.33683,41.2372,0.1198
0.26996,40.4637,0.1477
0.51339,42.2413,0.1934
0.60874,42.9052,0.1988
0.30244,41.1001,0.1213
0.62684,42.7691,0.1818
0.4351,42.123,0.1352
0.58936,42.3708,0.1443
0.33121,41.3461,0.131
0.31048,41.1068,0.1512
0.3127,42.2679,200.597
0.25833,40.4489,0.1742
0.55467,42.3287,0.1852
0.17715,40.6402,149.8745
0.37043,41.3107,0.1482
0.52612,42.2783,0.2373
0.33759,41.3984,0.1257
0.65831,43.1407,0.2681
0.54327,42.439,0.2207
0.84634,43.8956,0.2579
0.33485,41.4124,0.196
0.34417,41.3303,0.1168
0.50491,42.3999,0.1839
0.37044,41.5622,0.1488
0.77137,43.273,0.1766
0.5329,42.8342,241.0519
0.31079,41.7232,193.6743
0.70325,43.6139,226.7003
0.21062,39.9768,0.1539
0.58899,42.9954,0.2261
0.54154,42.5301,0.194
0.52973,42.2837,0.2456
0.35299,41.3882,0.1363
0.38185,41.609,0.1525
0.54183,42.4455,0.1472
0.35723,41.2933,0.1829
0.7981,43.5735,0.2585
0.5695,43.6177,238.5706
0.67382,43.2679,0.1797
0.55797,42.6888,0.1816
0.20699,40.0126,0.1572
0.35071,41.2702,0.1655
0.56864,42.4081,0.1828
0.57472,42.7067,0.2066
