snid,z,alpha,mu_obs,mu_qfd,mu_lcdm,residual_qfd,residual_lcdm,residual_alpha,chi2_per_obs
1798021,0.173874,19.7257,22.0227,42.6893,39.6186,-20.6666,-17.5959,19.034685,0.98
1905127,0.665790,21.2869,23.2432,43.5317,43.0140,-20.2885,-19.7708,18.686364,1.21
1313147,0.107130,20.1130,20.5506,41.9194,38.4751,-21.3688,-17.9245,19.681403,1.44
1264637,0.294969,20.2811,22.5674,43.3337,40.9131,-20.7663,-18.3457,19.126445,0.66
1278429,0.657022,24.5033,19.7222,43.5412,42.9788,-23.8190,-23.2566,21.938133,0.95
1346992,0.571206,21.1046,23.1084,43.6088,42.6096,-20.5004,-19.5012,18.881563,1.27
1340253,0.692607,21.6254,22.9614,43.4997,43.1187,-20.5383,-20.1573,18.916499,0.88
1332007,0.693979,22.6369,21.8675,43.4980,43.1240,-21.6304,-21.2564,19.922372,0.68
1334745,0.271022,18.9775,23.7989,43.2491,40.7021,-19.4502,-16.9032,17.914276,2.05
1432239,0.660212,21.4986,22.9950,43.5378,42.9917,-20.5428,-19.9966,18.920583,1.66
1345421,0.541887,20.0437,24.1459,43.6198,42.4713,-19.4739,-18.3255,17.936155,0.73
1290338,1.205095,25.5135,19.9426,42.3126,44.6014,-22.3699,-24.6588,20.603444,1.43
1259500,0.561614,22.4267,21.6361,43.6131,42.5651,-21.9770,-20.9290,20.241558,0.60
1249395,0.555129,24.8709,18.9572,43.6157,42.5346,-24.6585,-23.5774,22.711293,3.32
1336454,0.292563,19.4189,23.4857,43.3259,40.8926,-19.8402,-17.4069,18.273483,0.81
1278287,0.515743,21.1040,22.8872,43.6237,42.3420,-20.7365,-19.4548,19.099020,2.23
1297427,0.808124,22.5356,22.3081,43.3195,43.5296,-21.0114,-21.2215,19.352236,1.40
1440068,0.609723,20.9648,23.4019,43.5846,42.7814,-20.1826,-19.3795,18.588895,0.74
1260558,0.616080,26.0279,17.9273,43.5796,42.8087,-25.6523,-24.8815,23.626660,2.90
1340141,0.654053,21.6612,22.7981,43.5444,42.9668,-20.7462,-20.1687,19.107965,1.21
1303523,0.396393,23.2771,19.9564,43.5541,41.6613,-23.5978,-21.7049,21.734357,2.48
1292033,0.324722,22.2066,20.6855,43.4191,41.1544,-22.7336,-20.4690,20.938385,1.66
1339425,0.535791,21.0208,23.0604,43.6212,42.4417,-20.5608,-19.3813,18.937241,1.40
1291766,1.017458,24.7809,20.3706,42.8513,44.1467,-22.4808,-23.7762,20.705576,1.17
1719035,0.441913,23.3360,20.1284,43.5998,41.9408,-23.4714,-21.8124,21.617917,2.50
1277913,0.217769,20.8808,21.2574,42.9951,40.1634,-21.7376,-18.9059,20.021079,0.87
1279616,0.863563,21.6141,23.4527,43.2116,43.7070,-19.7588,-20.2542,18.198538,2.06
1337687,0.328693,22.5233,20.3681,43.4290,41.1851,-23.0609,-20.8170,21.239870,8.82
1341423,0.597098,22.7001,21.4724,43.5937,42.7262,-22.1213,-21.2538,20.374449,0.71
1283618,0.857005,23.0622,21.8639,43.2250,43.6866,-21.3610,-21.8226,19.674249,1.42
1291121,0.347610,22.9864,19.9868,43.4720,41.3266,-23.4852,-21.3398,21.630656,4.91
1900056,0.478391,20.6661,23.1995,43.6185,42.1463,-20.4191,-18.9468,18.806648,0.89
1265981,0.314543,19.2062,23.8740,43.3921,41.0743,-19.5181,-17.2002,17.976811,0.85
1290995,0.543515,22.5239,21.4595,43.6194,42.4792,-22.1599,-21.0197,20.410016,0.59
1549021,0.382380,20.0802,23.3491,43.5344,41.5692,-20.1853,-18.2201,18.591316,0.63
1878692,0.884499,20.8463,24.3384,43.1676,43.7711,-18.8292,-19.4327,17.342309,1.06
1322979,0.529383,23.0532,20.8277,43.6224,42.4102,-22.7947,-21.5826,20.994730,2.25
1323831,0.310791,21.2124,21.6697,43.3816,41.0441,-21.7119,-19.3744,19.997363,2.43
1265134,0.473042,22.7288,20.9355,43.6167,42.1171,-22.6812,-21.1816,20.890176,1.27
1251436,0.573494,21.7947,22.3678,43.6076,42.6201,-21.2399,-20.2523,19.562639,0.96
1430257,0.146338,19.9256,21.4313,42.4306,39.2073,-20.9992,-17.7760,19.341001,1.09
1260228,0.149364,16.4258,25.2756,42.4623,39.2559,-17.1867,-13.9803,15.829524,0.66
1248110,0.947202,23.8800,21.1933,43.0260,43.9547,-21.8327,-22.7614,20.108701,1.83
1367235,0.600262,21.8858,22.3680,43.5915,42.7401,-21.2235,-20.3722,19.547572,1.23
1288065,0.651932,22.4851,21.8966,43.5466,42.9582,-21.6500,-21.0617,19.940384,1.06
1252959,0.200397,18.6659,23.4817,42.8869,39.9611,-19.4052,-16.4794,17.872813,1.88
1915161,0.884101,20.8860,24.2943,43.1684,43.7699,-18.8741,-19.4756,17.383733,1.20
1309559,0.899690,25.0069,19.8581,43.1346,43.8167,-23.2765,-23.9586,21.438456,2.66
1861213,0.247990,19.2759,23.2821,43.1517,40.4822,-19.8697,-17.2002,18.300629,2.06
1262252,0.452943,22.5041,21.0852,43.6070,42.0046,-22.5218,-20.9193,20.743328,1.16
